ccn,report_dat,shift,method,offense,block,xblock,yblock,ward,anc,district,psa,neighborho,block_grou,census_tra,voting_pre,latitude,longitude,start_date,end_date,objectid,octo_recor
10123633,2012-02-29T00:00:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,700 - 799 BLOCK OF FLORIDA AVENUE NE,400387,137463,6,6C,5,501,Cluster 25,010600 1,10600.0,Precinct 83,38.905023860724306,-76.9955382751455,2010-08-27T02:30:00.000Z,2010-08-27T07:15:00.000Z,312599942,10123633-01
10146732,2012-06-08T00:00:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,2600 - 2699 BLOCK OF WOODLEY ROAD NW,395317,139759,3,3C,2,204,Cluster 15,000501 2,501.0,Precinct 26,38.9256946006405,-77.05400598310409,2010-10-09T06:00:00.000Z,2010-10-09T06:00:00.000Z,312605400,10146732-01
11142230,2012-08-23T00:00:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,4100 - 4276 BLOCK OF EAST CAPITOL STREET,405084,135772,7,7F,6,603,Cluster 32,007703 1,7703.0,Precinct 103,38.8897761049759,-76.94139906244169,2011-09-27T00:12:00.000Z,2011-09-27T08:00:00.000Z,312634964,11142230-01
11141272,2012-06-25T00:00:00.000Z,MIDNIGHT,OTHERS,HOMICIDE,2800 - 2899 BLOCK OF BUENA VISTA TERRACE SE,402815,131990,8,8B,7,702,Cluster 36,007502 2,7502.0,Precinct 134,38.8557165266002,-76.96756826953101,2011-09-26T06:45:00.000Z,2011-09-26T06:55:00.000Z,312635592,11141272-01
11158196,2012-01-05T00:00:00.000Z,MIDNIGHT,OTHERS,HOMICIDE,4280 - 4499 BLOCK OF DOUGLAS STREET NE,405237,138096,7,7D,6,601,Cluster 29,009601 1,9601.0,Precinct 92,38.910710626364306,-76.9396177835367,2011-10-27T18:35:00.000Z,2011-10-27T23:59:00.000Z,312637937,11158196-01
12001166,2012-01-03T14:55:00.000Z,DAY,OTHERS,THEFT F/AUTO,1500  - 1599 BLOCK OF ALLISON STREET NW,396925,141908,4,4C,4,404,Cluster 18,002501 2,2501.0,Precinct 48,38.945060533305,-77.0354716005943,2012-01-03T14:25:00.000Z,2012-01-03T14:55:00.000Z,312644201,12001166-01
12001172,2012-01-03T14:52:00.000Z,DAY,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF 7TH STREET NW,398099,138672,1,1B,3,305,Cluster 3,004400 2,4400.0,Precinct 137,38.9159129746927,-77.0219199846024,2011-12-31T16:40:00.000Z,2011-12-31T16:45:00.000Z,312644202,12001172-01
12001185,2012-01-03T15:05:00.000Z,EVENING,OTHERS,THEFT/OTHER,2600 - 2699 BLOCK OF 29TH STREET SE,403011,132273,7,7B,6,606,Cluster 35,007603 2,7603.0,Precinct 113,38.8582652616661,-76.96530890667661,2012-01-02T23:00:00.000Z,2012-01-03T15:05:00.000Z,312644203,12001185-01
12001187,2012-01-03T11:58:00.000Z,DAY,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF T STREET NW,396310,138635,2,2B,2,208,Cluster 6,004202 2,4202.0,Precinct 14,38.915573975841504,-77.0425483223914,2012-01-02T15:00:00.000Z,2012-01-03T08:00:00.000Z,312644204,12001187-01
12001189,2012-01-03T10:51:00.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,2500 - 2999 BLOCK OF SOUTHERN AVENUE SE,402901,131166,8,8B,7,704,Cluster 38,,,Precinct 116,38.8482932990892,-76.9665809354291,2012-01-02T16:00:00.000Z,2012-01-03T08:15:00.000Z,312644205,12001189-01
12001192,2012-01-03T14:30:00.000Z,DAY,OTHERS,THEFT F/AUTO,5100 - 5199 BLOCK OF HANNA PLACE SE,406148,134619,7,7E,6,604,Cluster 33,007707 1,7707.0,Precinct 106,38.879382645795296,-76.9291451419643,2012-01-03T14:30:00.000Z,2012-01-03T14:50:00.000Z,312644206,12001192-01
12001195,2012-01-03T15:50:00.000Z,EVENING,OTHERS,BURGLARY,5300  - 5399 BLOCK OF 13TH STREET NW,397426,142968,4,4C,4,403,Cluster 18,002002 3,2002.0,Precinct 54,38.954610914712,-77.0296963032893,2012-01-03T00:15:00.000Z,2012-01-03T15:50:00.000Z,312644207,12001195-01
12001197,2012-01-03T11:32:00.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,6600  - 6699 BLOCK OF 2ND STREET NW,398886,144739,4,4B,4,401,Cluster 19,001702 2,1702.0,Precinct 63,38.970567593987695,-77.01285512384179,2012-01-02T20:00:00.000Z,2012-01-03T09:00:00.000Z,312644208,12001197-01
12001199,2012-01-03T15:55:00.000Z,EVENING,OTHERS,THEFT/OTHER,50 - 79 BLOCK OF MASSACHUSETTS AVENUE NW,398998,136737,6,6C,1,103,Cluster 8,004702 1,4702.0,Precinct 1,38.8984833086684,-77.0115510036611,2012-01-03T13:30:00.000Z,2012-01-03T14:20:00.000Z,312644209,12001199-01
12001215,2012-01-03T16:33:00.000Z,EVENING,OTHERS,THEFT/OTHER,1048 - 1099 BLOCK OF WISCONSIN AVENUE NW,394553,137415,2,2E,2,206,Cluster 4,000202 4,202.0,Precinct 6,38.904574667781105,-77.06279809856339,2012-01-02T20:00:00.000Z,2012-01-03T11:00:00.000Z,312644210,12001215-01
12001231,2012-01-03T16:29:00.000Z,EVENING,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF 35TH STREET NW,393982,138687,2,2E,2,206,Cluster 4,000300 1,300.0,Precinct 6,38.916029551189695,-77.06939226428179,2012-01-03T14:15:00.000Z,2012-01-03T15:45:00.000Z,312644211,12001231-01
12001234,2012-01-03T17:07:00.000Z,EVENING,OTHERS,BURGLARY,1900 - 2099 BLOCK OF MARYLAND AVENUE NE,402151,137291,5,5D,5,507,Cluster 23,008904 1,8904.0,Precinct 79,38.903471877588494,-76.9752016499578,2012-01-03T13:05:00.000Z,2012-01-03T16:30:00.000Z,312644212,12001234-01
12001235,2012-01-03T17:03:00.000Z,EVENING,OTHERS,THEFT F/AUTO,400  - 499 BLOCK OF VAN BUREN STREET NW,398356,144667,4,4B,4,402,Cluster 17,001902 2,1902.0,Precinct 59,38.9699181685877,-77.0189709435244,2012-01-02T16:20:00.000Z,2012-01-02T16:50:00.000Z,312644213,12001235-01
12001256,2012-01-03T16:17:00.000Z,EVENING,OTHERS,BURGLARY,200 - 299 BLOCK OF F STREET NE,399759,136609,6,6C,1,104,Cluster 25,008301 2,8301.0,Precinct 84,38.8973307763855,-77.00277819051911,2012-01-03T08:00:00.000Z,2012-01-03T16:00:00.000Z,312644214,12001256-01
12001258,2012-01-03T17:26:00.000Z,EVENING,OTHERS,ROBBERY,700 701  BLOCK OF EDGEWOOD STREET NE,400353,139706,5,5E,5,502,Cluster 21,009204 2,9204.0,Precinct 74,38.925229567499,-76.99592910813459,2012-01-03T17:20:00.000Z,2012-01-03T17:26:00.000Z,312644215,12001258-01
12001262,2012-01-03T17:18:00.000Z,EVENING,OTHERS,THEFT/OTHER,1600 - 1677 BLOCK OF WISCONSIN AVENUE NW,394312,138199,2,2E,2,206,Cluster 4,000202 1,202.0,Precinct 6,38.911635682171905,-77.0655830640316,2012-01-03T16:30:00.000Z,2012-01-03T17:18:00.000Z,312644216,12001262-01
12001274,2012-01-03T18:02:00.000Z,EVENING,GUN,ROBBERY,1328  - 1399 BLOCK OF PEABODY STREET NW,397198,143908,4,4A,4,402,Cluster 17,001804 3,1804.0,Precinct 60,38.96307797969391,-77.0323305856392,2012-01-03T18:00:00.000Z,2012-01-03T18:02:00.000Z,312644217,12001274-01
