"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",10.39,13.16
"$15,000 - $24,999",4.12,5.84
"$25,000 - $34,999",3.84,5.45
"$35,000 - $49,999",5.94,7.44
"$50,000 - $74,999",9.96,11.34
"$75,000 - $99,999",10.19,10.33
"$100,000 - $124,999",10.28,8.99
"$125,000 - $149,999",9.33,7.37
"$150,000 - $199,999",12.85,9.64
"$200,000 - $249,999",6.99,5.33
"$250,000 - $499,999",9.6,8.11
"$500,000+",6.5,7
