"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",10.23,13.16
"$15,000 - $24,999",5.28,5.84
"$25,000 - $34,999",5.76,5.45
"$35,000 - $49,999",8.86,7.44
"$50,000 - $74,999",13.2,11.34
"$75,000 - $99,999",10.53,10.33
"$100,000 - $124,999",8.74,8.99
"$125,000 - $149,999",7.07,7.37
"$150,000 - $199,999",9.11,9.64
"$200,000 - $249,999",5.3,5.33
"$250,000 - $499,999",8.16,8.11
"$500,000+",7.73,7
