"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",13.01,13.16
"$15,000 - $24,999",5.9,5.84
"$25,000 - $34,999",5.61,5.45
"$35,000 - $49,999",7.3,7.44
"$50,000 - $74,999",11.42,11.34
"$75,000 - $99,999",10.79,10.33
"$100,000 - $124,999",9.63,8.99
"$125,000 - $149,999",8.07,7.37
"$150,000 - $199,999",10.39,9.64
"$200,000 - $249,999",5.61,5.33
"$250,000 - $499,999",7.37,8.11
"$500,000+",4.9,7
