"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",7.53,13.16
"$15,000 - $24,999",2.88,5.84
"$25,000 - $34,999",2.91,5.45
"$35,000 - $49,999",4.42,7.44
"$50,000 - $74,999",8.95,11.34
"$75,000 - $99,999",9.84,10.33
"$100,000 - $124,999",8.65,8.99
"$125,000 - $149,999",7.53,7.37
"$150,000 - $199,999",10.99,9.64
"$200,000 - $249,999",6.52,5.33
"$250,000 - $499,999",13.32,8.11
"$500,000+",16.46,7
