"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",23.1,13.16
"$15,000 - $24,999",11.58,5.84
"$25,000 - $34,999",10.53,5.45
"$35,000 - $49,999",11.27,7.44
"$50,000 - $74,999",14.62,11.34
"$75,000 - $99,999",10.36,10.33
"$100,000 - $124,999",6.73,8.99
"$125,000 - $149,999",3.86,7.37
"$150,000 - $199,999",3.61,9.64
"$200,000 - $249,999",1.71,5.33
"$250,000 - $499,999",1.69,8.11
"$500,000+",0.94,7
