"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",11.7,13.16
"$15,000 - $24,999",4,5.84
"$25,000 - $34,999",3.8,5.45
"$35,000 - $49,999",5.89,7.44
"$50,000 - $74,999",10.04,11.34
"$75,000 - $99,999",10.46,10.33
"$100,000 - $124,999",9.69,8.99
"$125,000 - $149,999",8.18,7.37
"$150,000 - $199,999",11.13,9.64
"$200,000 - $249,999",6.3,5.33
"$250,000 - $499,999",9.97,8.11
"$500,000+",8.84,7
