"Category","Households by Income (Percent) ","Households by Income (Percent) "
"Under $15,000",9.83,13.16
"$15,000 - $24,999",4.46,5.84
"$25,000 - $34,999",4.3,5.45
"$35,000 - $49,999",6.09,7.44
"$50,000 - $74,999",10.57,11.34
"$75,000 - $99,999",10.68,10.33
"$100,000 - $124,999",10.32,8.99
"$125,000 - $149,999",8.94,7.37
"$150,000 - $199,999",11.55,9.64
"$200,000 - $249,999",6.4,5.33
"$250,000 - $499,999",9.68,8.11
"$500,000+",7.17,7
