"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",1570
"Some High School, No Diploma",4609
"High School Grad",18054
"Some College, No Degree",12351
"Associate Degree",2890
"Bachelor's Degree",4578
"Master's Degree",3225
"Professional Degree",587
"Doctorate Degree",237
