"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",2392
"Some High School, No Diploma",3261
"High School Grad",10779
"Some College, No Degree",9462
"Associate Degree",2366
"Bachelor's Degree",16988
"Master's Degree",11871
"Professional Degree",4270
"Doctorate Degree",1908
