"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",1910
"Some High School, No Diploma",5008
"High School Grad",19726
"Some College, No Degree",11584
"Associate Degree",2677
"Bachelor's Degree",5525
"Master's Degree",3490
"Professional Degree",582
"Doctorate Degree",314
