"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",616
"Some High School, No Diploma",739
"High School Grad",2033
"Some College, No Degree",3741
"Associate Degree",1054
"Bachelor's Degree",17282
"Master's Degree",18880
"Professional Degree",9420
"Doctorate Degree",5227
