"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",3406
"Some High School, No Diploma",3063
"High School Grad",6773
"Some College, No Degree",5008
"Associate Degree",1304
"Bachelor's Degree",21745
"Master's Degree",18475
"Professional Degree",7144
"Doctorate Degree",3106
