"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",1506
"Some High School, No Diploma",1369
"High School Grad",3944
"Some College, No Degree",4422
"Associate Degree",1057
"Bachelor's Degree",21071
"Master's Degree",20510
"Professional Degree",9494
"Doctorate Degree",4018
