"Category","Population 25+ by Educational Attainment"
"Less than 9th Grade",1769
"Some High School, No Diploma",3197
"High School Grad",9114
"Some College, No Degree",6928
"Associate Degree",2394
"Bachelor's Degree",24950
"Master's Degree",18206
"Professional Degree",6907
"Doctorate Degree",3043
